# wave A(l)/A(V) unc
7.00375e-01 7.68891e-01 3.84446e-02
7.03635e-01 7.63469e-01 3.81734e-02
7.06909e-01 7.58070e-01 3.79035e-02
7.10199e-01 7.52692e-01 3.76346e-02
7.13505e-01 7.47336e-01 3.73668e-02
7.16826e-01 7.42001e-01 3.71001e-02
7.20162e-01 7.36690e-01 3.68345e-02
7.23514e-01 7.31398e-01 3.65699e-02
7.26881e-01 7.26126e-01 3.63063e-02
7.30264e-01 7.20872e-01 3.60436e-02
7.33663e-01 7.15640e-01 3.57820e-02
7.37077e-01 7.10426e-01 3.55213e-02
7.40508e-01 7.05228e-01 3.52614e-02
7.43954e-01 7.00047e-01 3.50023e-02
7.47417e-01 6.94882e-01 3.47441e-02
7.50895e-01 6.89731e-01 3.44866e-02
7.54390e-01 6.84597e-01 3.42298e-02
7.57901e-01 6.79476e-01 3.39738e-02
7.61428e-01 6.74368e-01 3.37184e-02
7.64972e-01 6.69274e-01 3.34637e-02
7.68533e-01 6.64193e-01 3.32097e-02
7.72109e-01 6.59129e-01 3.29565e-02
7.75703e-01 6.54075e-01 3.27038e-02
7.79313e-01 6.49035e-01 3.24517e-02
7.82940e-01 6.44011e-01 3.22005e-02
7.86584e-01 6.39000e-01 3.19500e-02
7.90245e-01 6.34003e-01 3.17002e-02
7.93923e-01 6.29020e-01 3.14510e-02
7.97618e-01 6.24049e-01 3.12025e-02
8.01330e-01 6.19096e-01 3.09548e-02
8.05060e-01 6.14152e-01 3.07076e-02
8.08807e-01 6.09226e-01 3.04613e-02
8.12571e-01 6.04315e-01 3.02158e-02
8.16353e-01 5.99415e-01 2.99708e-02
8.20152e-01 5.94532e-01 2.97266e-02
8.23969e-01 5.89662e-01 2.94831e-02
8.27804e-01 5.84809e-01 2.92405e-02
8.31657e-01 5.79969e-01 2.89985e-02
8.35528e-01 5.75143e-01 2.87571e-02
8.39416e-01 5.70330e-01 2.85165e-02
8.43323e-01 5.65534e-01 2.82767e-02
8.47248e-01 5.60751e-01 2.80375e-02
8.51191e-01 5.55981e-01 2.77991e-02
8.55153e-01 5.51229e-01 2.75614e-02
8.59133e-01 5.46489e-01 2.73245e-02
8.63131e-01 5.41763e-01 2.70882e-02
8.67148e-01 5.37051e-01 2.68525e-02
8.71184e-01 5.32355e-01 2.66177e-02
8.75239e-01 5.27672e-01 2.63836e-02
8.79312e-01 5.23003e-01 2.61502e-02
8.83405e-01 5.18354e-01 2.59177e-02
8.87516e-01 5.13722e-01 2.56861e-02
8.91647e-01 5.09110e-01 2.54555e-02
8.95797e-01 5.04518e-01 2.52259e-02
8.99966e-01 4.99946e-01 2.49973e-02
9.04155e-01 4.95401e-01 2.47700e-02
9.08363e-01 4.90875e-01 2.45438e-02
9.12590e-01 4.86377e-01 2.43188e-02
9.16838e-01 4.81905e-01 2.40953e-02
